id,number,branch_name,type,business_date,total_price,discount_name,discounts,total_taxes,check_number,kitchen_notes,preparation_period,detailed_orders
1,193,Downtown,Dine In,04/09/2024,46.15,-,5.66,1.93182,170004.0,Extra hot,15 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}]"
2,532,Downtown,Pick up,09/09/2024,25.89,-,5.06,5.70779,117700.0,No onions,-,"[{""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}]"
3,482,Suburb,Delivery,15/09/2024,55.27,Loyalty Program,9.99,6.20955,103040.0,Extra hot,-,"[{""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 1}]"
4,227,Suburb,Dine In,14/09/2024,27.82,Holiday Sale,2.76,7.46046,107393.0,Extra hot,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 3}]"
5,291,Suburb,Delivery,22/09/2024,73.91,Holiday Sale,3.44,3.69231,128125.0,No onions,15 mins,"[{""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 2}, {""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 2}]"
6,933,Downtown,Dine In,20/09/2024,24.52,Loyalty Program,3.79,7.71907,147104.0,No onions,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 2}]"
7,890,Suburb,Delivery,28/09/2024,12.19,Holiday Sale,5.14,9.49995,104385.0,-,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 3}, {""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 1}]"
8,901,Uptown,Dine In,11/09/2024,53.88,Holiday Sale,7.43,1.96596,124195.0,Extra hot,15 mins,"[{""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 1}]"
9,394,Suburb,Delivery,18/09/2024,66.4,-,8.78,7.2208,108293.0,-,10 mins,"[{""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 2}, {""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 2}]"
10,903,Uptown,Delivery,08/09/2024,90.36,Loyalty Program,2.71,3.38926,168251.0,No onions,10 mins,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 1}, {""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 3}]"
11,268,Suburb,Pick up,20/09/2024,17.95,-,7.12,4.88279,126117.0,Extra hot,10 mins,"[{""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}]"
12,972,Uptown,Pick up,14/09/2024,58.55,Loyalty Program,2.2,8.99903,126190.0,-,-,"[{""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 3}]"
13,344,Suburb,Pick up,11/09/2024,33.86,-,4.69,8.48174,124609.0,No onions,15 mins,"[{""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 1}]"
14,577,Uptown,Pick up,30/09/2024,59.28,Holiday Sale,8.21,1.35784,167004.0,-,-,"[{""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 3}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 2}]"
15,976,Uptown,Delivery,29/09/2024,67.13,Holiday Sale,4.07,2.99531,164976.0,Extra hot,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}]"
16,638,Suburb,Pick up,15/09/2024,59.69,Holiday Sale,7.02,6.79188,183620.0,Extra hot,-,"[{""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 3}, {""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}, {""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 3}]"
17,845,Suburb,Delivery,14/09/2024,20.52,Loyalty Program,0.83,4.02748,106320.0,No onions,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 2}, {""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 3}]"
18,990,Uptown,Delivery,20/09/2024,44.43,Holiday Sale,0.65,3.98569,132158.0,-,15 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 3}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 2}]"
19,722,Downtown,Dine In,29/09/2024,31.83,-,1.42,3.87732,188916.0,-,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 1}, {""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 1}]"
20,150,Uptown,Delivery,27/09/2024,80.17,Holiday Sale,0.24,6.45315,129462.0,No onions,10 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 1}]"
21,446,Uptown,Delivery,21/09/2024,53.34,-,1.6,1.87217,129386.0,No onions,15 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 1}]"
22,734,Downtown,Delivery,25/09/2024,65.65,Loyalty Program,6.99,8.20497,159311.0,No onions,-,"[{""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 2}]"
23,633,Suburb,Pick up,13/09/2024,74.79,-,6.01,1.97628,193071.0,-,10 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 3}]"
24,986,Downtown,Dine In,02/09/2024,36.55,-,5.75,9.88081,160948.0,No onions,15 mins,"[{""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 3}]"
25,723,Suburb,Delivery,14/09/2024,86.24,Loyalty Program,4.47,1.76293,135536.0,No onions,15 mins,"[{""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 2}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 2}]"
26,586,Uptown,Dine In,25/09/2024,52.34,Holiday Sale,4.56,2.7286,104849.0,No onions,-,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 1}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 3}]"
27,117,Downtown,Pick up,01/09/2024,14.4,-,4.38,6.96658,176467.0,-,-,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}, {""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 1}]"
28,311,Suburb,Dine In,14/09/2024,15.21,Holiday Sale,3.29,5.13356,103058.0,Extra hot,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Espresso"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 3}]"
29,390,Downtown,Dine In,08/09/2024,31.91,-,8.98,6.98194,179109.0,-,-,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}]"
30,297,Suburb,Delivery,02/09/2024,62.21,Holiday Sale,6.45,2.59009,171643.0,Extra hot,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 1}]"
31,791,Uptown,Delivery,18/09/2024,72.33,-,7.12,2.4769,134172.0,Extra hot,-,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 3}]"
32,575,Uptown,Delivery,31/08/2024,33.95,-,1.1,3.43949,177898.0,No onions,10 mins,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 1}]"
33,559,Uptown,Delivery,13/09/2024,25.74,-,5.88,6.9009,139698.0,-,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 3}]"
34,198,Uptown,Dine In,14/09/2024,56.65,-,0.98,9.5014,121809.0,No onions,-,"[{""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 2}]"
35,997,Uptown,Dine In,27/09/2024,56.36,Loyalty Program,4.93,8.82813,114793.0,No onions,-,"[{""category"": ""Cold Beverages"", ""item"": ""Iced Tea"", ""quantity"": 1}, {""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 3}]"
36,378,Downtown,Delivery,14/09/2024,72.9,-,4.09,8.38791,164442.0,No onions,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 2}]"
37,434,Uptown,Dine In,18/09/2024,47.39,Loyalty Program,6.64,2.39114,104693.0,No onions,-,"[{""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 2}, {""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 3}]"
