id,number,branch_name,type,business_date,total_price,discount_name,discounts,total_taxes,check_number,kitchen_notes,preparation_period,detailed_orders
1,133,Downtown,Delivery,28/09/2024,96.86,Loyalty Program,7.93,4.71003,135183.0,-,15 mins,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 1}, {""category"": ""Sandwiches"", ""item"": ""Club Sandwich"", ""quantity"": 3}, {""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 1}]"
2,723,Uptown,Pick up,02/09/2024,77.55,Loyalty Program,7.91,4.34432,171914.0,-,10 mins,"[{""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 1}, {""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 1}]"
3,837,Uptown,Delivery,18/09/2024,65.08,Loyalty Program,1.51,3.84933,128926.0,Extra hot,-,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 3}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 3}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 1}]"
4,160,Suburb,Pick up,20/09/2024,64.54,-,5.65,1.07428,139033.0,No onions,10 mins,"[{""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 2}]"
5,970,Suburb,Pick up,13/09/2024,33.03,Holiday Sale,0.95,4.7662,115425.0,No onions,10 mins,"[{""category"": ""Sandwiches"", ""item"": ""Panini"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 2}, {""category"": ""Cold Beverages"", ""item"": ""Ice Breeze"", ""quantity"": 1}]"
6,571,Uptown,Dine In,31/08/2024,81.55,-,5.56,5.48827,181331.0,Extra hot,15 mins,"[{""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 3}]"
7,844,Downtown,Dine In,11/09/2024,26.01,Holiday Sale,7.83,2.7847,148540.0,No onions,10 mins,"[{""category"": ""Sandwiches"", ""item"": ""Wrap"", ""quantity"": 2}]"
8,338,Suburb,Dine In,03/09/2024,88.92,-,8.2,2.27814,154052.0,-,-,"[{""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 1}]"
9,313,Uptown,Pick up,30/09/2024,97.59,Holiday Sale,6.99,4.47305,192534.0,No onions,-,"[{""category"": ""Hot Beverages"", ""item"": ""Cappuccino"", ""quantity"": 1}, {""category"": ""Cold Beverages"", ""item"": ""Cold Brew"", ""quantity"": 1}, {""category"": ""Pastries"", ""item"": ""Danish"", ""quantity"": 2}]"
10,417,Uptown,Dine In,17/09/2024,55.85,-,5.31,4.51202,140997.0,No onions,15 mins,"[{""category"": ""Pastries"", ""item"": ""Croissant"", ""quantity"": 3}, {""category"": ""Hot Beverages"", ""item"": ""Latte"", ""quantity"": 3}]"
11,870,Downtown,Dine In,11/09/2024,73.02,Holiday Sale,2.07,6.45705,181875.0,No onions,15 mins,"[{""category"": ""Pastries"", ""item"": ""Muffin"", ""quantity"": 1}]"
